// Copyright (C) 2003 Rational Discovery LLC
//  This file is part of the RDKit.
//  The contents are covered by the terms of the BSD license
//  which is included in the file license.txt, found at the root
//  of the RDKit source tree.
// NOTES:
//  - larger functional groups should come before smaller ones involving
//    the same core atom
//  - the first atom in the SMARTS query is not part of the group itself
//  - it is essential that the fields in this file be separated by tabs
//    (not spaces).
//
//   Label	SMARTS	Notes
//--------------------------------------------------
//Ring

RingC(=O)O	   [*;R:1][C;R](=O)[O;R][*;R:1]	   self_lactone79
-C=C(X)X	   *[C;!$(C=C=*);!$(C(C=O)=C);!$(C[N,O,F]);!a]=C([O,N,F,Cl,Br,I;!a])[O,N,F,Cl,Br,I;!a]	self_ketene acetal derivative16

-C(OR)OR	   *[C;!$(C=*);!$(C(C=O));!$(C(O)(O)[N,O,F]);!a]([O;H0;!$(O[N,O,F]);!$(OC=O)])[O;H0;!$(O[N,O,F]);!$(OC=O)]	self_acetal19
-C(OH)OR	   *[C;!$(C=*);!$(C(C=O));!$(C(O)(O)[N,O,F]);!a]([O;H1])[O;H0;!$(O[N,O,F]);!a;!$(OC=O)]	self_hemiacetal18
-C(OH)OH	   *[C;!$(C=*);!$(C(C=O));!$(C(O)(O)[N,O,F]);!a]([O;H1])[O;H1]	self_carbonyl hydrate17

-C(O)N	   *[C;!$(C=*);!$(CC(=O));!$(C(O)(N)[O,N,F]);!a]([O;!a;!$([O;!$(OC=*)][O,N,F])])[N;R0;!$(N=*);!$(NC(=O));!$(N[N,O,F]);!a]	self_hemiaminal20
-C(N)N	   *[C;!$(C=*);!$(CC(=O));!$(C(N)(N)[O,N,F]);!a]([N;R0;!$(N=*);!$(NC(=O));!$(N[N,O,F]);!a])[N;R0;!$(N=*);!$(NC(=O));!$(N[N,O,F]);!a]	self_aminal21

=C(R)N	   [C;!$(C(=C)=*);!$(C[N,O,F]);!a]=[C;!$(C([O,F]));!$(C(N)N);!a]([N;R0;!$(N=*);!$(N[N,O,F]);!a])	self_enamine24
=C(R)OH	   [C;!$(C(=C)=*);!$(C[N,O,F]);!a]=[C;!$(C[N,F]);!$(C(O)O);!a][O;H1]	self_enol25
C=C(R)OR	   [C;!$(C(=C)=*);!$(C[N,O,F]);!a]=[C;!$(C[N,F]);!$(C(O)O);!a][O;!a;H0;!$(O[O,F,N])]	self_enolether26

ROOR	   [O;!a;!$(OC=O);!$(O[N,F]);!$(OOO)]-[O;!a;!$(OC=O);!$(O[N,F]);!$(OOO)]	self_peroxide43
ROOH	   [O;!a;!$(OC=O);!$(O[N,F]);!$(OOO)][O;!a;H1]	self_hydroperoxide


//--------------------------------------------------
// Nitrogen containing
N(R)(R)N(R)(R)	   [N;!$(N=*);!a;!$(N[O,F]);!$(NNN)][N;!$(N=*);!a;!$(N[O,F]);!$(NNN)]	self_hydrazine derivative45
N(R)(R)O(R)	   [N;!$(N=*);!a;!$(NC=O);!$(N[N,F]);!$(N(O)O)]-[O;!a;!$(OC=O)]	self_hydroxylamine46

RC(=N)O	   [C;!$(CC=O);!a;!$(C[N,F]);!$(C(O)O)](=[N;!a;!$(NC=O);!$(N[N,O,F])])[O;!$(OC=O);!$(O[N,O,F])]	self_imido ester97
RC(=N)F	   [C;!$(CC=O);!a;!$(C[N,O]);!$(C(F)F)](=[N;!a;!$(NC=O);!$(N[N,O,F])])F	self_imidoyl halide98

-ON=O	   [O;!$(O[N,O,F]);!$(OC=O)][N;R0]=[O;D1]	self_nitrite151
-ON(=O)O	   [O;!$(O[H,O,F]);!$(O(N)N);!$(OC=O)][N;D3](=O)[O;!$(O[H,O,F]);!$(O(N)N);!$(OC=O)]	self_nitrate152???

-N=O	   [N;R0;!$(N[H,O,N,F]);!$(NC=O)]=O	self_nitroso149
-NO2	   *-[N;D3](=[O;D1])[O;D1]	nitro


=N-O*	   [C;!$(C(=N)=*);!$(CC=O);!$(C[N,O,F]);!a]=N-[O;H0;!$(OC=O);!$(O[O,F]);!$(O(N)N)]	self_oxime ether14
=N-O	   *=[N;R0]-[O;D1]	oximes

=N-N	   [C;!$(C(=N)=*);!$(CC=O);!a;!$(C[N,O,F])]=N-[N;R0;!$(N=*);!$(NC=O);!$(NC(=O));!a;!$(N[O,F]);!$(N(N)N)]	self_hydrazone10
-N=NR	   [N;D2;!$(NC=O);!a;!$(N[H,N,O,F])]=[N;D2;!$(NC=O);!a;!$(N[H,N,O,F])]	self_azo compound141
-N=NH	   [N;D2;!$(NC=O);!a;!$(N[H,N,O,F])]=[N;H1]	self_hydrazines
-N#N	   *-[N;D2]#[N;D1]		diazo

=NCH3	   *=[N;R0]-[C;D1;H3]	Imines
-N=CH2	   *-[N;R0]=[C;D1;H2]	Imines

-C(=O)C#N	   *-[C;!$(C(=O)C(=O));!$(C[N,O,F])](=O)[C;D2]#[N;D1]		self_acyl cyanide96
-OC#N	   [O;!$(OC=O);!a;!$(O[H,N,O,F])]-[C;D2]#[N;D1]		self_cyanate144

-C#N	   *-[C;D2]#[N;D1]		cyano
-N=NCH3	   *-[N;D2]=[N;D2]-[C;D1;H3]	terminal

R-NH2	   *[#6;!a][N;H2;!$(NC=O)]	self_prim aliphat amine49
aromatic-NH2	   [N;H2;!$(NC=O)]([#6,#8;a])	self_prim aromat amine

R2NH	   [N;H1;!$(N=*);!$(NC=O);!a]([#6;!a])[#6;!a]	self_sec aliphat amine54
-NHmixed	   [N;H1;!$(NC=O)]([#6;!a])[#6,#8;a]	self_sec mixed amine53
-NHaromatic	   [N;H1;!$(NC=O)]([#6,#8;a])[#6,#8;a]	self_sec arom_amine52

-NR3	   [N;!$(NC=O)]([#6;!a])([#6;!a])[#6;!a]	self_tert aliphat amine56
-N3mixed	   [N;!$(NC=O)]([#6;!a])([#6;!a])[#6,#8;a]	self_tert mixed amine???
-N3aromatic	    N([#6,#8;a])([#6,#8;a])[#6,#8;a]	self_tert arom_amine


//--------------------------------------------------
//Miscellaneous fragments:

RC(=O)OR	   [C;!$(C(C=O)=O);!$(C[N,F]);!$(C(O)O)](=O)[O;!a;!$(O(C=O)C=O);!$(O[H,O,N,F])]	self_carboxylic acid ester78
-NC(=O)F	   *-[N;!$(N=*);!$(N(C(=O))(C(=O)));!a;!$(N[N,O,F])]C(=O)F	self_carbamic acid halide128

RC(=O)X	[C;!$(CC=O);!a;!$(C([O,N,F])([O,N,F]))](=O)[O,N,F;!a]	self_carboxylic acid deriv75

CO2like	   [C;!$(CC);!$(C=C);!$(C#C)]	   self_CO2 deriv(general)116
XC(=O)X	   [N,O,F,Cl]-[#6](=O)-[N,O,F,Cl]	   self_carbonic acid deriv

ROC(=O)X	   [O;!a;H0;!$(OC=O);!$(C[H,N,O,F])][#6](=O)[F,Cl]	   self_carbonic acid ester halide120

a-F		[*;a]-F	   self_aryl fluoride
R-F		*-F	   self_acyl fluoride


-tBu	*-[C;D4]([C;D1])([C;D1])-[C;D1]	t-butyl
-CF3		*-[C;D4](F)(F)F		trifluoromethyl

-cPropyl	*-[C;D3]1-[C;D2]-[C;D2]1	cyclopropyl

//--------------------------------------------------
//Really teeny stuff:
-OMe	*-[O;D2]-[C;D1;H3]	methoxy
aOa	[*;a]-[O;D2;!$(OC(=O))]-[*;a]	self_diarylether
aOR	[*;a]-[O;D2;!$(OC(=O))]-[#6;!a;!$(C=O)]	self_alkylarylether
ROR	[#6;!$(a);!$(C=O)]-[O;!$(OC(=O))]-[#6;!$(a);!$(C=O)]	self_dialkylether

RORandHOH	*[O;D2;!$(OC(=O))]([#6&#1])([#6&#1])	self_ether
-OEt	*-[O;D2]-[C;D2]-[C;D1;H3]	ethoxy

RC(R)(R)OH	*[C;H0;!$(C=*);!$(CC=O);!a]-[O;H1]	self_tert.hydroxyls
RC(R)OH	*[C;!a;H1;!$(CC=O);!$(C=*)][O;H1]	self_sec.hydroxyls
RCOH	[C;H2;!$(CC=O)][O;H1]	self_prim.hydroxyls

a-2OH	[*;a]([O;H1])[*;a]([O;H1])	self_1,2diphenol
a-OH	[*;a][O;H1]	self_phenol

